0,48
10,39
20,40
30,50
40,51
50,45
60,56
70,57
80,54
90,55
100,51
110,53
120,59
130,52
140,61
150,60
160,49
170,49
180,52
190,54
200,58
210,51
220,48
230,53
240,50
250,47
260,47
270,47
280,53
290,43
300,52
310,43
320,48
330,45
340,47
350,38
360,44
370,40
380,36
390,41
400,35
410,34
420,41
430,32
440,37
450,40
460,39
470,36
480,38
490,38
500,41
510,34
520,37
530,37
540,37
550,39
560,44
570,36
580,46
590,43
600,48
610,49
620,41
630,46
640,45
650,45
660,42
670,55
680,52
690,51
700,44
710,57
720,48
730,52
740,54
750,52
760,55
770,53
780,48
790,46
800,45
810,54
820,59
830,46
840,57
850,59
860,48
870,46
880,46
890,43
900,46
910,45
920,47
930,41
940,50
950,47
960,42
970,43
980,36
990,35
