0,120
10,125
20,130
30,135
40,129
50,119
60,119
70,139
80,123
90,132
100,129
110,114
120,122
130,116
140,123
150,121
160,116
170,132
180,117
190,134
200,113
210,114
220,125
230,112
240,123
250,130
260,129
270,110
280,110
290,109
300,116
310,114
320,118
330,112
340,110
350,113
360,119
370,118
380,126
390,110
400,106
410,120
420,113
430,114
440,118
450,115
460,103
470,105
480,107
490,100
500,115
510,101
520,114
530,100
540,110
550,101
560,109
570,100
580,98
590,110
600,102
610,104
620,112
630,98
640,111
650,115
660,105
670,95
680,100
690,96
700,103
710,105
720,98
730,92
740,97
750,108
760,95
770,97
780,90
790,95
800,89
810,97
820,105
830,104
840,88
850,93
860,104
870,91
880,98
890,100
900,104
910,85
920,89
930,100
940,93
950,95
960,94
970,100
980,100
990,85
