0,55
10,59
20,58
30,52
40,60
50,52
60,64
70,67
80,72
90,72
100,63
110,69
120,63
130,71
140,58
150,74
160,71
170,63
180,70
190,71
200,71
210,69
220,61
230,54
240,70
250,63
260,53
270,55
280,66
290,58
300,59
310,52
320,48
330,57
340,58
350,57
360,55
370,54
380,49
390,50
400,46
410,47
420,51
430,48
440,43
450,44
460,43
470,50
480,49
490,48
500,41
510,40
520,45
530,40
540,47
550,40
560,41
570,47
580,50
590,47
600,55
610,58
620,59
630,56
640,60
650,61
660,51
670,59
680,68
690,67
700,63
710,59
720,70
730,61
740,56
750,70
760,62
770,69
780,64
790,70
800,60
810,60
820,64
830,67
840,64
850,59
860,54
870,69
880,52
890,69
900,58
910,55
920,62
930,61
940,54
950,50
960,50
970,48
980,46
990,47
