0,66
10,63
20,67
30,72
40,64
50,74
60,83
70,67
80,73
90,88
100,79
110,77
120,75
130,78
140,76
150,71
160,76
170,82
180,93
190,74
200,83
210,72
220,91
230,81
240,73
250,70
260,74
270,74
280,79
290,80
300,74
310,63
320,77
330,76
340,60
350,66
360,67
370,62
380,70
390,67
400,56
410,61
420,55
430,56
440,64
450,49
460,55
470,48
480,60
490,56
500,60
510,58
520,61
530,52
540,53
550,68
560,66
570,61
580,69
590,55
600,59
610,67
620,58
630,78
640,77
650,67
660,82
670,86
680,67
690,84
700,72
710,82
720,93
730,81
740,71
750,80
760,81
770,75
780,75
790,95
800,75
810,83
820,79
830,74
840,76
850,81
860,82
870,71
880,87
890,78
900,81
910,79
920,67
930,75
940,69
950,78
960,67
970,66
980,63
990,66
