0,1
10,1
20,2
30,2
40,1
50,2
60,2
70,2
80,2
90,2
100,2
110,2
120,2
130,2
140,2
150,2
160,2
170,2
180,2
190,2
200,2
210,2
220,2
230,2
240,2
250,2
260,2
270,1
280,2
290,2
300,1
310,1
320,2
330,1
340,1
350,2
360,1
370,1
380,1
390,1
400,1
410,1
420,1
430,1
440,1
450,1
460,1
470,1
480,1
490,1
500,1
510,1
520,1
530,1
540,1
550,1
560,1
570,1
580,1
590,1
600,1
610,1
620,1
630,1
640,2
650,2
660,1
670,2
680,2
690,2
700,2
710,2
720,2
730,2
740,2
750,2
760,2
770,2
780,2
790,2
800,2
810,2
820,2
830,2
840,2
850,2
860,2
870,2
880,2
890,2
900,2
910,2
920,2
930,1
940,1
950,1
960,1
970,1
980,1
990,1
